id,HetGNN,KGAT,NIRec
u871,0.05,0,0.75
u872,0,0.05,0.529411765
u873,0.25,0.05,0.9
u874,0,0,0.85
u875,0,0.15,0.75
u876,0.05,0.1,0.85
u877,0.15,0.1,1
u878,0,0.05,0.65
u879,0.15,0,0.9
u880,0,0.2,0.7
u881,0,0,0.9
u882,0.15,0,0.95
u883,0.05,0,1
u884,0.05,0,1
u885,0,0.1,0.8
u886,0.05,0,0.8
u887,0,0,0.95
u888,0.1,0,0.8
u889,0.05,0.1,0.85
u890,0,0,0.8
u891,0,0.25,0.8
u892,0.05,0,0.95
u893,0,0.15,0.95
u894,0.15,0,0.65
u895,0,0,0.9
u896,0.1,0.15,0.85
u897,0,0,0.6
u898,0,0,0.9
u899,0,0.1,0.85
u900,0,0.05,0.85
u901,0.1,0.15,0.85
u902,0,0.1,0.95
u903,0,0.1,0.95
u904,0.05,0.1,0.65
u905,0.1,0,0.85
u906,0.1,0.1,0.9
u907,0.1,0.05,0.8
u908,0.05,0.1,0.75
u909,0,0.05,0.95
u910,0.05,0,0.85
u911,0.1,0.1,0.65
u912,0.1,0.15,0.85
u913,0.05,0,0.65
u914,0,0.05,0.8
u915,0,0,0.8
u916,0,0,0.8
u917,0.1,0.1,0.95
u918,0,0.05,0.5
u919,0.05,0,1
u920,0,0.1,0.9
u921,0,0,0.4
u922,0.15,0,0.85
u923,0.05,0.05,0.75
u924,0.15,0.15,0.9
u925,0.05,0.05,0.85
u926,0.05,0.05,0.9
u927,0.05,0,0.8
u928,0.05,0,0.85
u929,0.2,0.05,0.85
u930,0,0.05,0.85
u931,0,0.1,0.85
u932,0.1,0.1,0.95
u933,0,0.05,1
u934,0,0.1,0.95
u935,0.15,0.05,1
u936,0.05,0,0.95
u937,0.35,0.25,0.95
u938,0,0.05,0.9
u939,0.05,0,0.95
u940,0,0,0.8
u941,0.05,0.05,1
u942,0.05,0,0.75
u943,0.15,0.05,0.9
u944,0,0,0.75
u945,0,0.05,0.85
u946,0.1,0.05,0.8
u947,0.05,0.05,0.8
u948,0,0.05,0.8
u949,0,0,0.7
u950,0.05,0.05,0.85
u951,0.1,0,1
u952,0.1,0.05,0.8
u953,0,0.15,1
u954,0,0.05,0.65
u955,0.05,0.1,0.8
u956,0.1,0.05,0.95
u957,0.1,0,0.85
u958,0,0.05,0.8
u959,0.05,0,0.85
u960,0.05,0,0.85
u961,0,0.1,0.85
u962,0.15,0.05,0.85
u963,0.1,0.1,0.95
u964,0.05,0.1,1
u965,0,0.05,0.65
u966,0.05,0.05,0.8
u967,0,0.1,0.7
u968,0,0.15,0.9
u969,0.05,0,0.75
u970,0,0.05,0.85
u971,0.05,0,0.95
u972,0.05,0,0.8
u973,0.1,0,0.8
u974,0.05,0.05,0.9
u975,0.1,0.05,0.9
u976,0.15,0.05,0.9
u977,0,0,0.9
u978,0.05,0.1,0.95
u979,0.05,0,0.6
u980,0.1,0,0.9
u981,0,0,0.95
u982,0,0,0.85
u983,0.2,0.05,0.8
u984,0,0.05,0.9
u985,0,0.05,0.8
u986,0.1,0.15,0.9
u987,0.05,0.05,0.9
u988,0,0,0.111111111
u989,0.05,0.05,1
u990,0.05,0.05,0.85
u991,0.05,0,0.75
u992,0.1,0.1,1
u993,0.05,0.1,1
u994,0.15,0,0.85
u995,0.05,0.15,0.85
u996,0,0,0.65
u997,0,0.1,0.7
u998,0.05,0.1,0.95
u999,0.05,0,1
u1000,0.05,0.05,1
u1001,0,0.05,0.85
u1002,0,0,0.7
u1003,0.05,0.05,0.95
u1004,0,0.05,0.55
u1005,0.1,0.05,0.7
u1006,0.05,0.1,0.8
u1007,0,0.05,0.368421053
u1008,0,0,0.95
u1009,0,0.05,0.85
u1010,0.05,0.1,0.6
u1011,0.05,0.05,1
u1012,0.1,0.05,0.7
u1013,0,0,0.75
u1014,0,0.1,0.75
u1015,0.05,0.1,0.9
u1016,0,0.05,0.9
u1017,0.05,0.05,0.8
u1018,0.05,0.05,0.8
u1019,0.1,0,0.8
u1020,0.1,0.05,0.8
u1021,0.2,0,0.85
u1022,0,0.05,0.95
u1023,0.1,0,1
u1024,0.05,0.05,0.95
