id,HetGNN,KGAT,NIRec
u754,0.7903,0.8639,0.7857
u755,0.7515,0.8642,0.7145
u756,0.8329,0.8616,0.7643
u757,0.743,0.7939,0.6428
u758,0.7217,0.7191,0.7398
u759,0.7803,0.8872,0.7795
u760,0.7114,0.7722,0.741
u761,0.7554,0.8216,0.6895
u762,0.7583,0.8425,0.8397
u763,0.7909,0.8414,0.8114
u764,0.6912,0.7615,0.6721
u765,0.7619,0.8402,0.802
u766,0.7596,0.7651,0.7811
u767,0.7425,0.8474,0.8655
u768,0.8182,0.8454,0.6936
u769,0.7981,0.8865,0.8435
u770,0.7928,0.8058,0.7119
u771,0.725,0.8061,0.7573
u772,0.7233,0.8402,0.771
u773,0.6701,0.8247,0.6689
u774,0.8304,0.815,0.7872
u775,0.7564,0.7874,0.7712
u776,0.7566,0.8509,0.7129
u777,0.7068,0.817,0.7877
u778,0.7994,0.8795,0.8072
u779,0.7614,0.7693,0.7976
u780,0.6274,0.7614,0.711
u781,0.7399,0.7853,0.764
u782,0.7959,0.8009,0.8163
u783,0.8007,0.7571,0.7255
u784,0.7518,0.8047,0.7431
u785,0.8129,0.8313,0.8668
