74,[19 2365 2372 2742 3836 4630 6830 9031 9182 10890 12153],[0.00022011764 0.00081653165 0.0006088648 0.013690898 0.24704175 0.4327918 0.0014415589 0.28057924 0.0088301385 0.00029232632 0.013686832]
75,[19 1058 4043 4652 5833 6507 6672 7056 7410 8086],[8.397658e-06 4.7429555e-07 0.007030764 0.18161464 0.001152832 0.057304814 0.7236416 0.024623834 0.00046269372 0.0041599805]
76,[19 2026],[0.011592399 0.98840755]
77,[20],[1.0]
78,[21 318 686 762 2899 8253 8778 10291 10773 11036 11842],[7.4636446e-05 0.0021820965 6.99028e-05 0.0005258256 0.00025825345 0.4801698 0.0008826432 0.031637214 0.48013616 0.0040550297 8.409263e-06]
79,[21 1013 1066 1078 5005 6939 10639],[0.004130459 0.011283548 0.0147654 0.015253884 0.13736802 0.814307 0.0028916833]
80,[21 521 772 2335 5028 6024 6025 6743 6969 7206 7852 11036],[1.0518247e-05 1.1919724e-07 8.192615e-09 1.1901374e-06 0.0046078544 0.6868048 0.07923759 0.21070641 0.016300563 0.0019440046 7.157842e-08 0.00038692277]
81,[21 125 4005 9408],[0.0004289621 9.401696e-05 0.95886475 0.040612213]
82,[22 4074],[0.8568468 0.14315322]
83,[22 9195 9952 10512],[0.0003747526 0.95288175 0.04667004 7.3367046e-05]
84,[22 103 2527 10357],[0.008686591 0.0007847651 0.98767394 0.0028546466]
85,[23],[1.0]
86,[24],[1.0]
87,[25 78 1273 1491 2478 3839 4099 4894 6387 6442 7880 11732],[9.532454e-06 0.037112 2.6009617e-05 1.3477008e-07 0.012990306 4.7046174e-06 0.00076054747 4.0785082e-05 0.94668597 2.0047808e-05 0.0023500219 7.688288e-08]
88,[25 301 3772 5888 7690 8217 11471],[4.5309822e-05 1.0206938e-06 8.632946e-06 0.9958799 0.0006402443 0.0034216854 3.2500009e-06]
89,[25 2183],[0.021060677 0.9789393]
90,[25 7172],[0.99419796 0.0058019985]
91,[26 239 1907 4016 7999 8315 11158 12082],[0.008247925 1.5897038e-07 0.01743239 5.5781165e-05 0.95667666 0.017199663 2.4028825e-05 0.00036341415]
92,[27 5010 11885 11997],[0.028903734 0.96953523 4.826771e-05 0.0015128494]
93,[28],[1.0]
94,[29 168 221 393 558 6152 9483 10788 11464 11816 12343],[0.00022412729 0.041471582 0.0026678748 0.0047455803 0.0012514832 0.012281081 0.48781285 0.0071995053 0.12632982 0.31282106 0.0031950506]
95,[29 130 676 6263 9270],[0.00020814576 0.005320846 0.00022920527 0.7600421 0.23419976]
96,[29 10788],[0.01586298 0.98413706]
97,[29 10788],[0.03567962 0.9643204]
98,[31 2982 3018 5582 6222 6664 7342 8035 10137 11667],[7.036764e-08 1.043141e-07 2.108283e-06 2.034003e-05 0.9996774 0.00014497178 3.3536369e-06 0.00014976451 1.3180847e-08 1.7186051e-06]
99,[31 2251 4292 7014 7114 7803 8764],[0.0007453554 0.7436273 0.00083465176 0.004963696 0.24554801 0.0030153305 0.0012655733]
100,[31 389 4600 7364 8936],[0.8706807 7.85419e-05 0.03671232 0.054449778 0.038078725]
101,[31 5727 8409 8509 8878],[5.0542512e-05 9.602695e-07 2.2635764e-05 0.08320779 0.916718]
102,[31 1488 1629 2519 2833 2969 2979 3139 3555 4592 5142 5150 5238 5403 5486 5520 5618 6249 7833 8369 8467 8583 8751 9061 10156 11091 11688 12227 12255],[0.00074693834 4.8407554e-07 1.4007591e-08 0.0003155645 0.010591672 0.00013791687 4.4858543e-06 1.6085909e-05 2.3329716e-07 4.3869593e-05 0.0001390028 2.5895975e-05 0.00066891423 0.76171184 0.00030407528 0.025238616 0.013843977 0.0050219335 0.05336283 0.017576236 0.08278557 0.0002752328 0.017039154 0.009423762 0.0006496953 2.4636203e-05 7.8117855e-06 5.90603e-07 4.2987533e-05]
103,[32],[1.0]
104,[33 34 566 1137 1870 1953 2361 3153 3399 3495 3762 4239 4547 4979 5252 6514 6594 7492 7638 7972 8204 8372 8696 9264 10337 10704 11703 12040],[7.0374874e-05 0.060136907 1.447077e-06 3.754588e-08 0.0009398685 4.8337576e-08 8.446e-07 0.0010941159 2.707731e-07 0.003088747 0.0027987708 1.9879813e-05 0.4219307 0.0030534037 3.7553298e-06 0.00019145079 0.0010678364 0.0015359205 0.0013744761 0.44512308 0.00025290382 0.041175615 0.00073170516 0.0026598074 8.4559415e-06 0.012665715 7.2158255e-05 1.7198631e-06]
105,[33 34 381 544 942 968 988 1047 3206 3276 3399 3906 4229 5607 9164 10262 11820],[0.0007454849 0.00045363745 0.0014644589 9.947996e-06 9.65947e-06 2.4457217e-05 0.000184812 3.1836774e-07 0.4449145 0.12804803 0.0006333057 0.033485867 0.010636597 0.32682058 0.0045831692 0.047864664 0.00012045878]
106,[33 34 3906 4970],[0.00014527907 0.9792947 0.0020160454 0.018543966]
107,[33 34 8317 10526],[0.0012934051 0.10239838 0.89626044 4.7738908e-05]
108,[33 482 1280 1365 1547 1644 1813 2292 3688 7319 10250 10643 11366 12318 12359],[0.0005175145 6.341591e-06 4.583018e-06 1.5967863e-07 1.8144235e-06 5.9636714e-06 0.00022955939 0.02693583 0.0012797306 0.9708864 6.224113e-06 1.3609981e-05 3.7251768e-05 6.473995e-05 1.0106924e-05]
109,[34 227 584 1055 1395 1607 1985 2594 4229 10411],[0.99908924 5.0439263e-07 1.3080161e-07 3.3772436e-09 4.071312e-06 1.578716e-08 1.8240013e-06 1.0353982e-05 0.00089382427 1.1685464e-07]
110,[35 36 3345 8304 10485],[0.003754049 0.00040557477 0.0010688439 0.9947706 9.731928e-07]
111,[35 36 1468],[0.999156 0.0008440519 3.1983166e-08]
112,[35 36 2316 4780 4956 5372 10272 10878 11163 11782],[0.02765392 0.0010151328 0.00931903 0.31668493 0.16501993 0.003403919 0.24375284 0.010405608 0.22100961 0.0017350353]
113,[35 10671 12079],[0.8068865 0.028259339 0.16485415]
114,[38 168 350 376 1889 1989 2514 2586 3597 4479 6366 7386 8505 9129 9653 10506 10921 11665 11904 11958],[4.810014e-06 5.6403414e-06 3.3137153e-06 2.6717407e-06 1.4602806e-05 4.8345148e-05 0.006004462 0.0008091735 0.0006065286 0.0004644568 0.22874823 0.7623341 0.00033412594 0.0003326848 8.194147e-05 0.00017517178 9.07458e-06 5.2109186e-08 3.0311767e-08 2.0585187e-05]
115,[39 255 774 3454 7278 7728 9665],[7.400309e-05 0.004074314 1.3552957e-05 0.212441 0.15764856 0.57132506 0.05442357]
